url,title,documentType,contentId,locale,publishing_app,first_published_at,public_updated_at,withdrawn_at,withdrawn_explanation,page_views,taxons,primary_organisation,all_organisations,government,is_political,people,occurrences
https://www.gov.uk/guidance/adding-your-veteran-card-to-the-govuk-one-login-app,Help adding your digital Veteran Card to the GOV.UK One Login app,detailed_guide,ca7f51ef-1938-462f-b628-5f89061683cb,en,whitehall,2025-08-13T23:00:00.000Z,2025-10-17T15:41:46.000Z,,,13034,"Defence and armed forces,GOV.UK homepage,Veterans and family support",Government Digital Service,Government Digital Service,2024 Starmer Labour government,,,
https://www.gov.uk/veteran-card,HM Armed Forces Veteran Card,guide,8d7d88c2-4ea9-4c25-aab2-1988a269177e,en,publisher,2024-01-28T00:01:10.853Z,2024-07-26T10:26:32.758Z,,,11568,"GOV.UK homepage,Defence and armed forces,Veterans and family support",Government Digital Service,"Ministry of Defence,Office for Veterans' Affairs",,,,
https://www.gov.uk/financial-help-disabled/vehicles-and-transport,Financial help if you're disabled: Vehicles and transport,guide,d1d66f56-3a29-449c-9639-787f02a576e1,en,publisher,2012-01-26T13:35:35.000Z,2014-12-11T16:09:53.000Z,,,8550,"GOV.UK homepage,Welfare,Benefits and financial help,Disabled people,Carers and disability benefits,Health and social care,Armed forces,Defence and armed forces",Government Digital Service,"Department for Transport,Department for Work and Pensions,Driver and Vehicle Licensing Agency,HM Revenue & Customs",,,,
https://www.gov.uk/guidance/defence-gateway,Defence Gateway,detailed_guide,5e2b16b3-7631-11e4-a3cb-005056011aef,en,whitehall,2013-05-03T15:37:00.000Z,2023-08-10T14:06:46.000Z,,,3922,"Defence and armed forces,GOV.UK homepage,Military equipment, logistics and technology",Ministry of Defence,Ministry of Defence,2010 to 2015 Conservative and Liberal Democrat coalition government,,,
https://www.gov.uk/guidance/pensions-and-compensation-for-veterans,Armed forces pensions,detailed_guide,5c8ec3dc-7631-11e4-a3cb-005056011aef,en,whitehall,2012-12-12T00:00:00.000Z,2026-02-11T09:30:15.000Z,,,3258,"Support services for military and defence personnel and their families,Armed forces,Work,Pensions and compensation,Pensions and ageing society,Defence and armed forces,GOV.UK homepage,Veterans and family support",Ministry of Defence,"Ministry of Defence,Veterans Advisory and Pensions Committees,Veterans UK",2010 to 2015 Conservative and Liberal Democrat coalition government,,,
https://www.gov.uk/get-copy-military-records-of-service,Get a copy of military records of service,guide,d302eb24-8200-4ae0-b113-418de98ca061,en,publisher,2014-11-25T16:09:51.000Z,2015-09-24T10:14:16.000Z,,,2206,"Armed forces,Certificates, register offices, changes of name or gender,Defence and armed forces,Life circumstances,GOV.UK homepage",Government Digital Service,Ministry of Defence,,,,
https://www.gov.uk/guidance/veterans-uk-armed-forces-pensions-forms,Veterans' UK Armed Forces pension and insurance declaration forms,detailed_guide,20638bc1-d80a-4d63-b424-5d66124ae889,en,whitehall,2020-02-18T00:00:00.000Z,2024-12-06T16:23:21.000Z,,,1690,"Support services for military and defence personnel and their families,Defence and armed forces,GOV.UK homepage",Ministry of Defence,"Ministry of Defence,Veterans UK",2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/armed-forces-pension-calculator,Estimate your armed forces pension,answer,d83f6953-d12a-4015-ab2d-22b05558c05c,en,publisher,2012-12-12T15:20:07.000Z,2014-11-19T14:15:31.000Z,,,1419,"Workplace and personal pensions,GOV.UK homepage,Work,Armed forces,Defence and armed forces,Working, jobs and pensions",Government Digital Service,"Ministry of Defence,Service Personnel and Veterans Agency,Veterans UK",,,,
https://www.gov.uk/guidance/medals-campaigns-descriptions-and-eligibility,"Medals: campaigns, descriptions and eligibility",detailed_guide,5c84b52a-7631-11e4-a3cb-005056011aef,en,whitehall,2012-12-12T00:00:00.000Z,2025-03-19T17:01:51.000Z,,,1162,"Military awards and commemorations,GOV.UK homepage,Defence and armed forces,Medals",Ministry of Defence,Ministry of Defence,2010 to 2015 Conservative and Liberal Democrat coalition government,,,
https://www.gov.uk/right-to-reside,Right to reside,answer,3b49efde-67c6-4869-afbe-9b970321d3b7,en,publisher,2014-05-29T09:54:48.000Z,2016-07-21T16:14:07.229Z,,,1024,"GOV.UK homepage,Defence and armed forces,Armed forces",Government Digital Service,"Department for Work and Pensions,Home Office,UK Visas and Immigration",,,,
https://www.gov.uk/guidance/armed-forces-compensation-scheme-afcs,Armed Forces Compensation Scheme (AFCS),detailed_guide,d1b30f94-841a-428b-a274-a3530d2911b5,en,whitehall,2020-02-21T00:00:00.000Z,2025-11-06T10:47:39.000Z,,,798,"GOV.UK homepage,Defence and armed forces,Veterans and family support",Ministry of Defence,"Ministry of Defence,Veterans UK",2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/guidance/valour-information-and-next-steps,VALOUR: information and next steps,detailed_guide,bc1b6684-3238-443f-84aa-1f924f991ab8,en,whitehall,2025-05-22T23:00:00.000Z,2025-12-18T16:01:10.000Z,,,797,"GOV.UK homepage,Defence and armed forces,Veterans and family support",Ministry of Defence,"Ministry of Defence,Office for Veterans' Affairs",2024 Starmer Labour government,,,
https://www.gov.uk/apply-medal-or-veterans-badge/apply-for-a-medal,Apply for or replace a medal or veterans badge : Apply for a medal,guide,70b25509-1b79-4e4d-8ca8-66d266ce6a4e,en,publisher,2014-11-28T14:48:46.000Z,2024-11-11T12:31:04.444Z,,,654,"Armed forces,Society and culture,Military awards and commemorations,Medals,Defence and armed forces,Charities, volunteering and honours,GOV.UK homepage",Government Digital Service,Ministry of Defence,,,,
https://www.gov.uk/guidance/veterans-uk-contact-us,Veterans UK: contact us,detailed_guide,c91b868e-0ccc-49da-a920-2d3790aaee1a,en,whitehall,2020-02-21T00:00:00.000Z,2025-11-12T14:42:38.000Z,,,643,"Veterans and family support,GOV.UK homepage,Defence and armed forces",Ministry of Defence,"Ministry of Defence,Veterans UK",2019 to 2022 Johnson Conservative government,,,
https://www.gov.uk/guidance/apply-for-armed-forces-compensation-or-a-war-pension,Apply for Armed Forces Compensation or a War Pension,detailed_guide,03702c27-1603-4e80-bc8d-ab33bfeea08c,en,whitehall,2022-11-07T00:00:00.000Z,2025-05-22T14:07:49.000Z,,,549,"GOV.UK homepage,Pensions and compensation,Defence and armed forces,Support services for military and defence personnel and their families",Veterans UK,"Veterans UK,Ministry of Defence",2022 to 2024 Sunak Conservative government,,,
https://www.gov.uk/guidance/war-pension-scheme-wps,War Pension Scheme (WPS),detailed_guide,bcf766c7-f3a5-457b-9fb2-6b7dafa2cf20,en,whitehall,2020-02-21T00:00:00.000Z,2025-11-06T10:47:52.000Z,,,495,"Defence and armed forces,GOV.UK homepage,Veterans and family support",Ministry of Defence,"Ministry of Defence,Veterans UK",2019 to 2022 Johnson Conservative government,,,
